Year,Bill No.,Short Title,Date of Introduction / House,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis
2023,81,"THE COASTAL AQUACULTURE AUTHORITY (AMENDMENT) BILL, 2023",05/04/2023  (Lok Sabha),,,,,
2023,80,"THE FOREST (CONSERVATION) AMENDMENT BILL, 2023",29/03/2023  (Lok Sabha),,,,,
2023,64,"The Appropriation Bill, 2023",23/03/2023  (Lok Sabha),,,,,
2023,67,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2023",21/03/2023  (Lok Sabha),21/03/2023,,,,
2023,66,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2023",21/03/2023  (Lok Sabha),21/03/2023,,,,
2023,65,"THE APPROPRIATION (NO. 2) BILL, 2023",21/03/2023  (Lok Sabha),21/03/2023,,,,
2023,62,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",15/03/2023  (Lok Sabha),,,,,
2023,17,"The Finance Bill, 2023",01/02/2023  (Lok Sabha),24/03/2023,,,,
2022,299,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2022",22/12/2022  (Lok Sabha),,,,,
2022,290,"THE REPEALING AND AMENDING BILL, 2022",19/12/2022  (Lok Sabha),,,,,
2022,246,"THE APPROPRIATION (No. 5) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,22 of 2022,
2022,246,"THE APPROPRIATION (No. 5) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,22 of 2022,
2022,245,"THE APPROPRIATION (No. 4) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,21 of 2022,
2022,245,"THE APPROPRIATION (No. 4) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,21 of 2022,
2022,99,"The Indian Penal Code (Amendment) Bill, 2022 (Insertion of new sections 379A and 379B)",09/12/2022  (Lok Sabha),,,,,
2022,97,"The Financial Assistance to the State Governments (For Protection of Water Bodies) Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,57,"The Citizenship (Amendment) Bill, 2022 (Amendment of section 2, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,44,"The Central Universities (Amendment) Bill, 2022 (Insertion of new section 3F, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,43,"Constitution (Amendment) Bill, 2022 (Omission of the Tenth Schedule)",09/12/2022  (Lok Sabha),,,,,
2022,42,"The Constitution (Amendment) Bill, 2022 (Amendment of article 80, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,25,"The Widows (Protection and welfare) Bill, 2022",09/12/2022  (Lok Sabha),,,,,
2022,220,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FIFTH AMENDMENT) BILL, 2022",09/12/2022  (Lok Sabha),21/12/2022,,,,
2022,219,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FOURTH AMENDMENT) BILL, 2022",09/12/2022  (Lok Sabha),19/12/2022,22/12/2022,,2 of 2023,
2022,219,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FOURTH AMENDMENT) BILL, 2022",09/12/2022  (Lok Sabha),19/12/2022,22/12/2022,,2 of 2023,
2022,218,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (THIRD AMENDMENT) BILL, 2022",09/12/2022  (Lok Sabha),16/12/2022,,,,
2022,217,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (SECOND AMENDMENT) BILL, 2022",09/12/2022  (Lok Sabha),15/12/2022,22/12/2022,,1 of 2023,
2022,217,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (SECOND AMENDMENT) BILL, 2022",09/12/2022  (Lok Sabha),15/12/2022,22/12/2022,,1 of 2023,
2022,214,"The Prevention of Internet Shutdown Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,212,"The Representation of the People (Amendment) Bill, 2022 (Amendment of section 58, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,211,"The Rights of Persons with Disabilities (Amendment) Bill, 2022 (Insertion of new section 9A, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,209,"The Prevention of Mob-Lynching Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,206,"The Prevention of Torture Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,205,"The Wild Life (Protection) Amendment Bill, 2022 (Amendment of section 8, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,201,"The Food Safety and Standards (Amendment) Bill, 2022 (Amendment of section 3, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,200,"The Housing Facility for Destitute Senior Citizens, Widows and Orphan Children Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,197,"The Reserve Bank of India (Amendment) Bill, 2022 (Amendment of section 7)",09/12/2022  (Lok Sabha),,,,,
2022,194,"The Constitution (Amendment) Bill, 2022 (Amendment of article 348)",09/12/2022  (Lok Sabha),,,,,
2022,193,"The Special Financial Assistance to the State of Tamil Nadu Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,192,"The Aligarh Muslim University (Amendment) Bill, 2022 (Amendment of section 12)",09/12/2022  (Lok Sabha),,,,,
2022,191,"The Micro, Small and Medium Enterprises Development (Amendment) Bill, 2022 (Insertion of new sections 10A and 10B)",09/12/2022  (Lok Sabha),,,,,
2022,189,"The Victims of Natural Calamities (Rehabilitation and Financial Assistance) Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,180,"The Constitution (Amendment) Bill, 2022 (Insertion of new article 338C).",09/12/2022  (Lok Sabha),,,,,
2022,179,"The Constitution (Amendment) Bill, 2022 (Amendment of article 324, etc.).",09/12/2022  (Lok Sabha),,,,,
2022,171,"The Judicial Standards and Accountability Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,167,"The Agricultural and Other Rural Workers (Protection and Welfare) Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,166,"The Environment (Protection) Amendment Bill, 2022 (Insertion of new section 3A)",09/12/2022  (Lok Sabha),,,,,
2022,165,"The All India Institute of Medical Science (Amendment) Bill, 2022 (Insertion of new section 3A)",09/12/2022  (Lok Sabha),,,,,
2022,160,"The Climate Migrants (Protection and Rehabilitation) Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,153,"The Juvenile Justice (Care and Protection of Children) Amendment Bill, 2022 (Amendment of section 86).",09/12/2022  (Lok Sabha),,,,,
2022,151,"The Sanctions on Countries Engaging Territorial Incursion into India Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,150,"The National Commission for Indian System of Medicine (Amendment) Bill, 2022 (Amendment of section 2, etc.).",09/12/2022  (Lok Sabha),,,,,
2022,149,"The Nationalisation of Inter-State Rivers Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,146,"The Maintenance and Welfare of Parents and Senior Citizens (Amendment) Bill, 2022 (Amendment of section 21).",09/12/2022  (Lok Sabha),,,,,
2022,145,"The Debt Relief Board Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,141,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2022 (Amendment of Schedule I).",09/12/2022  (Lok Sabha),,,,,
2022,140,"The Indian Penal Code (Amendment) Bill, 2022 (Omission of section 124A, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,138,"The Representation of the People (Amendment) Bill, 2022 (Amendment of sections 20 and 20A)",09/12/2022  (Lok Sabha),,,,,
2022,132,"The Environment (Protection) Amendment Bill, 2022 (Amendment of sections 2 and 3).",09/12/2022  (Lok Sabha),,,,,
2022,127,"The Single Use Plastic (Regulation) Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,126,"The Constitution (Amendment) Bill, 2022 (Amendment of the Tenth Schedule).",09/12/2022  (Lok Sabha),,,,,
2022,122,"The Constitution (Amendment) Bill, 2022 (Amendment of article 81, etc.).",09/12/2022  (Lok Sabha),,,,,
2022,118,"The National Authority for Rehabilitation and Welfare of Persons Living Around Railway Tracks Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,116,"The Indian Penal Code (Amendment) Bill, 2022 (Amendment of sections 326A and 326B)",09/12/2022  (Lok Sabha),,,,,
2022,113,"The Constitution (Amendment) Bill, 2022 (Insertion of new articles 44A and 51A)",09/12/2022  (Lok Sabha),,,,,
2022,110,"The Constitution (Amendment) Bill, 2022 (Amendment of article 72).",09/12/2022  (Lok Sabha),,,,,
2022,100,"The Drugs (Price Control) Bill, 2022",09/12/2022  (Lok Sabha),,,,,
2021,96,"The Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) (Amendment) Bill, 2021 (Amendment of section 3)",09/12/2022  (Lok Sabha),,,,,
2021,95,"The Information Technology (Amendment) Bill, 2021 (Substitution of new section for section 43A)",09/12/2022  (Lok Sabha),,,,,
2021,85,"The Juvenile Justice (Care and Protection of Children) Amendment Bill, 2021 (Amendment of section 75)",09/12/2022  (Lok Sabha),,,,,
2021,83,"The National Commission for Welfare of Female Farmers Bill, 2021.",09/12/2022  (Lok Sabha),,,,,
2021,4,"The Promotion of Cycling Bill, 2021.",09/12/2022  (Lok Sabha),,,,,
2021,36,"The Railways (Amendment) Bill, 2021 (Insertion of section 11A).",09/12/2022  (Lok Sabha),,,,,
2021,128,"The Constitution (Amendment) Bill, 2021 (Amendment of Seventh Schedule).",09/12/2022  (Lok Sabha),,,,,
2020,9,"The Forest (Conservation) Amendment Bill, 2020 (Insertion of new sections 3C and 3D).",09/12/2022  (Lok Sabha),,,,,
2020,48,"The Payment of Compensation to Persons Attacked by Wild Animals Bill, 2020.",09/12/2022  (Lok Sabha),,,,,
2022,215,"THE MULTI-STATE CO-OPERATIVE SOCIETIES (AMENDMENT) BILL, 2022",07/12/2022  (Lok Sabha),,,,,
2022,187,"THE ELECTRICITY (AMENDMENT) BILL, 2022",08/08/2022  (Lok Sabha),,,,,
2022,98,"The Eastern Region Tourism Promotion Authority Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,90,"The Agricultural Workers (Welfare and Protection) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,88,"The Protection of Women from Domestic Violence (Amendment) Bill, 2022(Amendment of section 2, etc.)",05/08/2022  (Lok Sabha),,,,,
2022,86,"The National Water University Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,77,"The Special Financial Assistance for Development and Rejuvenation of Water Bodies in Forest Areas in the State of Rajasthan Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,76,"The Special Financial Assistance for Development and Rejuvenation of Water Bodies in Forest areas in the State of Madhya Pradesh Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,73,"The Compulsory Sensitivity Training in Educational Institutions Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,70,"The Conservation and Maintenance of Archaeological and Natural Heritage Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,69,"The Constitution (Scheduled Tribes) Order Amendment Bill, 2022 (Amendment of the Schedule)",05/08/2022  (Lok Sabha),,,,,
2022,52,"The Mental Healthcare (Amendment) Bill, 2022 (Amendment of section 2, etc.)",05/08/2022  (Lok Sabha),,,,,
2022,46,"The Criminal Law (Amendment) Bill, 2022 (Substitution of new section for section 272, etc.)",05/08/2022  (Lok Sabha),,,,,
2022,45,"The Population Control Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,32,"The Ocean Thermal Energy Utilization Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,30,"The Supreme Court, High Courts and District Courts (Use of Official Languages) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,2,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2022 (Amendment of the Schedule)",05/08/2022  (Lok Sabha),,,,,
2022,186,"THE NEW DELHI INTERNATIONAL ARBITRATION CENTRE (AMENDMENT) BILL, 2022",05/08/2022  (Lok Sabha),08/08/2022,14/12/2022,,23 of 2022,
2022,186,"THE NEW DELHI INTERNATIONAL ARBITRATION CENTRE (AMENDMENT) BILL, 2022",05/08/2022  (Lok Sabha),08/08/2022,14/12/2022,,23 of 2022,
2022,185,"THE COMPETITION (AMENDMENT) BILL, 2022",05/08/2022  (Lok Sabha),29/03/2023,,,,
2022,184,"The Constitution (Amendment) Bill, 2022 (Amendment of article 93)",05/08/2022  (Lok Sabha),,,,,
2022,183,"The Constitution (Amendment) Bill, 2022 (Amendment of article 25)",05/08/2022  (Lok Sabha),,,,,
2022,182,"The Constitution (Amendment) Bill, 2022 (Amendment of Seventh Schedule))",05/08/2022  (Lok Sabha),,,,,
2022,181,"The Constitution (Amendment) Bill, 2022 (Amendment of article 325)",05/08/2022  (Lok Sabha),,,,,
2022,178,"The Constitution (Amendment) Bill, 2022 (Amendment of article 366)",05/08/2022  (Lok Sabha),,,,,
2022,175,"The Agnipath Scheme Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,174,"The Anti-Drought Measure and Mitigation Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,173,"The Bharatiya Rozgar Samhita Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,172,"The Government Services (Regulation of Service Rules at Workplace in Appointments of Persons with Disabilities) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,170,"The Victims of Riots, Communal Violence and Violent Protests (Equal Compensation) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,169,"The Antarrashtriya Marathi Vishwavidyalaya Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,168,"The Fishermen (Protection and Welfare) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,164,"The Orphans (Reservation of Posts in Government Establishments and Welfare) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,162,"The Compulsory Teaching of Urban Planning in Schools Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,161,"The Protection of Rights of Widows and Single Women and Abolishment of Widowhood Practices Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,159,"The Conducting of Union Government Examinations in all Eighth Schedule Languages Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,158,"The National Strategy for Reduction of Food Waste Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,156,"The National Commission for Economically Weaker Sections Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,155,"The Residential Schools (for Scheduled Castes and Scheduled Tribes) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,154,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2022 (Amendment of sections 2 and 3)",05/08/2022  (Lok Sabha),,,,,
2022,152,"The Legal Services Authorities (Amendment) Bill, 2022 (Amendment of section 12)",05/08/2022  (Lok Sabha),,,,,
2022,148,"The Constitution (Amendment) Bill, 2022 (Amendment of article 239AA)",05/08/2022  (Lok Sabha),,,,,
2022,147,"The Constitution (Amendment) Bill, 2022 (Amendment of article 312)",05/08/2022  (Lok Sabha),,,,,
2022,144,"The Youth Welfare Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,143,"The Madhya Pradesh Central Agricultural University Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,142,"The Rehabilitation and Relocation of Persons Displaced due to Climate Change Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,139,"The National Emission Trading System (Control of Green House Gas Emissions) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,137,"The Environment (Protection) Amendment Bill, 2022 (Amendment of section 2)",05/08/2022  (Lok Sabha),,,,,
2022,136,"The Street Vendors (protection of Livelihood and Regulation of Street Vending) Amendment Bill, 2022( Insertion of new section 13A)",05/08/2022  (Lok Sabha),,,,,
2022,135,"The Electricity (Amendment) Bill, 2022 (Insertion of new section 126A)",05/08/2022  (Lok Sabha),,,,,
2022,134,"The Visually Impaired Persons (Protection of Rights) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,133,"The Places of Worship (Special Provisions) Repeal Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,131,"The Compensatory Afforestation Fund (Amendment) Bill, 2022 (Amendment of sections 6 and 16)",05/08/2022  (Lok Sabha),,,,,
2022,130,"The Code of Criminal Procedure (Amendment) Bill, 2022 (Amendment of section 2, etc.)",05/08/2022  (Lok Sabha),,,,,
2022,128,"The Constitution (Amendment) Bill, 2022 (Insertion of new article 123A)",05/08/2022  (Lok Sabha),,,,,
2022,125,"The Protection of Human Rights (Amendment) Bill, 2022 (Amendment of section 2, etc.)",05/08/2022  (Lok Sabha),,,,,
2022,124,"The Hindu Religious Places of Worship (Prohibition of Marketing, Slaughtering, Trading, Cooking, Serving and Consumption of meat and Other Non-Vegetarian Food) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,121,"The Constitution (Amendment) Bill, 2022 (Omission of article 30)",05/08/2022  (Lok Sabha),,,,,
2022,120,"The Fishermen (Development and Welfare) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,115,"The Compulsory Military Training Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,114,"The Girl Child (Prevention of Commercialised Trafficking, Rehabilitation and Welfare) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,112,"The Special Irrigation Development Fund (For Forest Areas) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,107,"The Constitution (Amendment) Bill, 2022 (Amendment of the Eighth Schedule)",05/08/2022  (Lok Sabha),,,,,
2022,106,"The Juvenile Justice (Care and Protection of Children) Amendment Bill, 2022 (Amendment of section 86)",05/08/2022  (Lok Sabha),,,,,
2022,105,"The District Development and Monitoring Committee for Implementation of Central Sector and Centrally Sponsored Schemes Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,104,"The Greenfield Infrastructure Development Boards Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,103,"The Breast Cancer Awareness Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,102,"The Prohibition of Publication and Dissemination of Objectionable Material on Religion Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,101,"The Betel Growers (Welfare) Bill, 2022",05/08/2022  (Lok Sabha),,,,,
2022,1,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2022 (Amendment of the Schedule)",05/08/2022  (Lok Sabha),,,,,
2021,84,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2021 (Amendment of Section 2 and 3)",05/08/2022  (Lok Sabha),,,,,
2021,82,"The National Population Control Commission Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,75,"The Female Farmers Entitlement Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,62,"The Over the Top Platforms Regulatory Authority Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,61,"The Victims of Floods caused by Heavy Rains, Cyclones and Other Reasons (Rehabilitation and Welfare) Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,49,"The Aroma Board Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,47,"The Unemployment Allowance for Graduates Living Below Poverty Line Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,37,"The Compulsory Health Insurance for Senior Citizens, Mentally Retarded Children and Persons with Disabilities Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,31,"The Constitution (Amendment) Bill, 2021 (Insertion of new article 220A)",05/08/2022  (Lok Sabha),,,,,
2021,21,"The Industrial Employment and Environmental Protection Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,134,"The Prohibition of Multi-Digit Lotteries Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,123,"The Ancient Monuments and Archeological Sites and Remains (Amendment) Bill, 2021 (Amendment of section 20I)",05/08/2022  (Lok Sabha),,,,,
2021,122,"The Compulsory Periodical Desiltation of Dams, Reservoirs and Rivers Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,121,"The Flood Control and Management Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,113,"The Special Financial Assistance to the State of Bihar (For the Welfare of Farmers) Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2021,112,"The Higher and Technical Education (Exemption from Payment of Outstanding Fees and Education Loan) Bill, 2021",05/08/2022  (Lok Sabha),,,,,
2020,14,"The Right to Water Bill, 2020",05/08/2022  (Lok Sabha),,,,,
2022,177,"THE ENERGY CONSERVATION (AMENDMENT) BILL, 2022",03/08/2022  (Lok Sabha),08/08/2022,12/12/2022,,19 of 2022,
2022,177,"THE ENERGY CONSERVATION (AMENDMENT) BILL, 2022",03/08/2022  (Lok Sabha),08/08/2022,12/12/2022,,19 of 2022,
2022,176,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2022",01/08/2022  (Lok Sabha),03/08/2022,08/08/2022,,17 of 2022,
2022,176,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2022",01/08/2022  (Lok Sabha),03/08/2022,08/08/2022,,17 of 2022,
2022,123,"The Family Courts (Amendment) Bill, 2022",18/07/2022  (Lok Sabha),26/07/2022,04/08/2022,,16 of 2022,
2022,123,"The Family Courts (Amendment) Bill, 2022",18/07/2022  (Lok Sabha),26/07/2022,04/08/2022,,16 of 2022,
2022,96,"The Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Amendment Bill, 2022",05/04/2022  (Lok Sabha),06/04/2022,01/08/2022,,14 of 2022,
